Index     Term                DF   
10858     richmond            3    
10859     richter             7    
10860     rick                19   
10861     ricochet            1    
10862     rid                 8    
10863     riddanc             1    
10864     riddl               1    
10865     ride                17   
10866     rider               1    
10867     riderless           1    
10868     ridg                8    
10869     ridicul             2    
10870     riestra             1    
10871     rifai               3    
10872     rifl                19   
10873     rifletot            1    
10874     rift                1    
10875     rig                 18   
10876     rigg                4    
10877     right               200  
10878     righthand           1    
10879     rightist            1    
10880     rigor               1    
10881     rill                4    
10882     rim                 7    
10883     rind                3    
10884     ring                8    
10885     ringlead            12   
10886     ringold             1    
10887     rinn                1    
10888     rins                2    
10889     rio                 2    
10890     riot                34   
10891     rioter              1    
10892     riotou              1    
10893     riowa               1    
10894     rip                 47   
10895     rippl               2    
10896     rippner             6    
10897     rise                58   
10898     risen               7    
10899     risk                57   
10900     riski               13   
10901     ristic              1    
10902     rita                6    
10903     ritesh              1    
10904     rittner             4    
10905     ritual              3    
10906     riva                23   
10907     rival               41   
10908     rivalri             10   
10909     rivasseau           1    
10910     river               13   
10911     rivera              1    
10912     riverb              1    
10913     riversid            1    
10914     rivet               1    
10915     riviera             2    
10916     riyadh              7    
10917     rk                  2    
10918     rkan                1    
10919     rki                 1    
10920     rmich               1    
10921     rminn               1    
10922     rmiss               4    
10923     rmo                 2    
10924     rnahan              1    
10925     rnh                 1    
10926     rni                 5    
10927     rnj                 4    
10928     rnmentrun           1    
10929     roach               2    
10930     road                61   
10931     roadblock           17   
10932     roadsid             2    
10933     roadway             1    
10934     roam                12   
10935     roar                15   
10936     rob                 17   
10937     robb                17   
10938     robber              19   
10939     robberi             55   
10940     robe                4    
10941     rober               3    
10942     robert              91   
10943     roberto             2    
10944     robertson           4    
10945     robin               4    
10946     robinson            2    
10947     robust              2    
10948     rochel              1    
10949     rochest             2    
10950     rochu               2    
10951     rock                71   
10952     rockbottom          1    
10953     rockconcert         1    
10954     rockcut             1    
10955     rocket              13   
10956     rocketengin         1    
10957     rocketpropel        4    
10958     rocki               7    
10959     rockland            4    
10960     rocknrol            1    
10961     rockport            1    
10962     rod                 25   
10963     rode                4    
10964     roderick            2    
10965     rodger              2    
10966     rodham              47   
10967     rodrick             1    
10968     rodriguez           16   
10969     rodriquez           2    
10970     rodway              3    
10971     rogan               3    
10972     roger               48   
10973     rogu                3    
10974     rohio               1    
10975     rohit               1    
10976     roil                1    
10977     rok                 3    
10978     rolan               1    
10979     roland              3    
10980     role                59   
10981     roll                26   
10982     rolla               9    
10983     rollerblad          1    
10984     rollercoast         1    
10985     roman               7    
10986     romania             6    
10987     romanian            3    
10988     romano              1    
10989     rome                2    
10990     romero              5    
10991     ron                 20   
10992     ronald              13   
10993     ronay               1    
10994     ronchest            1    
10995     rondero             2    
10996     ronni               1    
10997     roof                25   
10998     rooftop             1    
10999     rooki               1    
11000     room                52   
11001     roommat             1    
11002     roosevelt           1    
11003     roost               1    
11004     root                10   
11005     rope                6    
11006     roper               1    
11007     rore                2    
11008     rorter              1    
11009     rosa                2    
11010     rose                33   
11011     rosenberg           9    
11012     rosenburg           1    
11013     rosenfield          1    
11014     rosewal             1    
11015     roshan              1    
11016     rosovski            2    
11017     rostenkowski        4    
11018     roster              2    
11019     roswel              1    
11020     rot                 4    
11021     rotat               4    
11022     rotaviru            2    
11023     roth                14   
11024     roug                1    
11025     rough               8    
11026     roughli             16   
11027     roughshod           1    
11028     round               98   
11029     roundli             1    
11030     roundtheclock       2    
11031     rout                64   
11032     routin              20   
11033     rove                2    
11034     row                 10   
11035     rowland             9    
11036     roy                 7    
11037     royal               7    
11038     rp                  2    
11039     rpa                 3    
11040     rss                 1    
11041     rt                  2    
11042     rtexa               3    
11043     rtj                 1    
11044     rtr                 3    
11045     ru                  1    
11046     ruano               2    
11047     rub                 4    
11048     rubber              26   
11049     rubbl               62   
11050     rubblervivor        1    
11051     rubenstein          2    
11052     rubi                2    
11053     rubin               7    
11054     rude                2    
11055     ruder               1    
11056     rudimentari         1    
11057     rudnick             1    
11058     rudolph             10   
11059     rue                 1    
11060     ruegg               1    
11061     ruesta              3    
11062     rueter              1    
11063     rug                 5    
11064     rugd                1    
11065     ruger               1    
11066     rugova              1    
11067     ruin                36   
11068     ruinou              1    
11069     rule                196  
11070     ruler               39   
11071     rumbl               8    
11072     rumor               31   
11073     rumpl               1    
11074     rumsfeld            7    
11075     run                 216  
11076     runaway             1    
11077     rundel              4    
11078     rundown             5    
11079     runin               1    
11080     runnerup            13   
11081     runoff              41   
11082     runup               1    
11083     runway              7    
11084     rupe                1    
11085     rupert              1    
11086     ruptur              3    
11087     rural               13   
11088     ruse                1    
11089     rusedski            4    
11090     rush                56   
11091     russ                1    
11092     russel              1    
11093     russellvil          1    
11094     russia              128  
11095     russian             155  
11096     russianamerican     2    
11097     russiaori           1    
11098     rust                2    
11099     rusti               2    
11100     rustresist          1    
11101     ruth                1    
11102     ruthless            2    
11103     rux                 3    
11104     ruxandra            2    
11105     ruzedzki            1    
11106     ruzica              1    
11107     rv                  9    
11108     rva                 3    
11109     rwanda              3    
11110     rwandan             2    
11111     rwandiz             2    
11112     rwash               1    
11113     ry                  1    
11114     ryan                1    
11115     s                   24   
11116     saba                1    
11117     sabaa               1    
11118     sabbath             1    
11119     sabotag             6    
11120     sach                3    
11121     sachan              2    
11122     sack                3    
11123     sacr                5    
11124     sacrific            10   
11125     sad                 22   
11126     sada                1    
11127     sadah               1    
11128     sadam               1    
11129     sadat               4    
11130     saddam              5    
11131     sadden              9    
11132     sadder              1    
11133     saddiq              1    
11134     sadilenko           1    
11135     sadli               1    
11136     saeed               5    
11137     safe                55   
11138     safer               2    
11139     safeti              42   
11140     safin               29   
11141     sag                 5    
11142     saga                2    
11143     sage                1    
11144     said                729  
11145     saigon              22   
11146     sail                16   
11147     sailor              246  
11148     sainov              2    
11149     saint               4    
11150     sajic               1    
11151     sake                2    
11152     sala                11   
11153     salaam              4    
11154     salad               1    
11155     salaf               1    
11156     salafi              1    
11157     salafist            1    
11158     salah               2    
11159     salanki             1    
11160     salari              6    
11161     salay               1    
11162     salazar             1    
11163     sale                14   
11164     saleh               38   
11165     saler               1    
11166     salesman            3    
11167     salient             1    
11168     salih               1    
11169     salim               2    
11170     sallah              1    
11171     salli               2    
11172     salsa               1    
11173     salt                5    
11174     salut               8    
11175     salvador            47   
11176     salvadoran          24   
11177     salvadorian         2    
11178     salvag              13   
11179     salvat              1    
11180     salvo               1    
11181     sam                 4    
11182     sama                3    
11183     same                8    
11184     samesex             1    
11185     sammi               1    
11186     samor               1    
11187     sampl               9    
11188     sampra              30   
11189     samshran            1    
11190     samuel              8    
11191     samurai             1    
11192     san                 62   
11193     sana                20   
11194     sanaa               1    
11195     sanchez             8    
11196     sanchezvicario      3    
11197     sanction            52   
11198     sanctuari           4    
11199     sand                10   
11200     sandbag             2    
11201     sander              1    
11202     sandi               24   
11203     sandiego            1    
11204     sandlewood          1    
11205     sandov              1    
11206     sandra              1    
11207     sandrin             10   
11208     sandwich            1    
11209     sanford             1    
11210     sang                2    
11211     sangram             1    
11212     sanguin             1    
11213     sanguinetti         2    
11214     sanit               4    
11215     sanjay              2    
11216     sank                36   
11217     sanskriti           1    
11218     santa               21   
11219     santana             1    
11220     santi               1    
11221     santiago            1    
11222     santistevan         2    
11223     santo               1    
11224     santorum            6    
11225     sap                 2    
11226     sarah               1    
11227     sarajevo            4    
11228     sarasota            2    
11229     sarong              1    
11230     sarvings            1    
11231     sasha               3    
11232     sat                 29   
11233     satan               1    
11234     satcom              1    
11235     satellit            14   
11236     satind              3    
11237     satisfact           5    
11238     satisfactori        2    
11239     satisfi             15   
11240     satkhira            3    
11241     sattar              1    
11242     saturday            190  
11243     saudi               89   
11244     saunder             1    
11245     sava                1    
11246     savag               2    
11247     save                67   
11248     savina              2    
11249     savior              5    
11250     savitabehn          1    
11251     savor               2    
11252     savvi               4    
11253     saw                 98   
11254     sawedoff            5    
11255     say                 593  
11256     sayaad              1    
11257     sayan               1    
11258     scale               19   
11259     scaledback          1    
11260     scalia              1    
11261     scalp               1    
11262     scam                1    
11263     scamper             1    
11264     scandal             67   
11265     scandinavian        1    
11266     scandlin            1    
11267     scanlon             1    
11268     scanner             2    
11269     scant               4    
11270     scapego             1    
11271     scapegoat           2    
11272     scar                6    
11273     scarc               4    
11274     scare               12   
11275     scari               2    
11276     scariest            1    
11277     scarv               1    
11278     scath               3    
11279     scatter             13   
11280     scenario            12   
11281     scene               91   
11282     scent               1    
11283     schaffer            5    
11284     schedul             80   
11285     scheme              9    
11286     schett              3    
11287     scheveck            1    
11288     schiff              2    
11289     schism              2    
11290     schleehauf          1    
11291     schlesing           1    
11292     schlikov            1    
11293     schmalz             1    
11294     scholar             6    
11295     scholarship         1    
11296     school              54   
11297     schoolboy           1    
11298     schoolchildren      1    
11299     schrock             3    
11300     schroeder           6    
11301     schultz             1    
11302     schumer             1    
11303     schutner            1    
11304     schwartz            2    
11305     schwarzkopf         2    
11306     schweitzer          2    
11307     scienc              15   
11308     scientif            5    
11309     scientist           12   
11310     scoop               1    
11311     scoopedout          1    
11312     scooter             1    
11313     scope               2    
11314     scorch              1    
11315     score               37   
11316     scorn               1    
11317     scotland            5    
11318     scott               8    
11319     scottish            1    
11320     scottsdal           2    
11321     scounscoun          1    
11322     scour               4    
11323     scourg              1    
11324     scout               1    
11325     scrambl             16   
11326     scrambler           1    
11327     scrap               9    
11328     scrape              4    
11329     scratch             2    
11330     scrawl              1    
11331     scrawni             2    
11332     scream              15   
11333     screech             1    
11334     screen              13   
11335     screw               1    
11336     scribbl             3    
11337     script              3    
11338     scriptur            1    
11339     scrutin             2    
11340     scrutini            7    
11341     scuffl              1    
11342     sculptur            1    
11343     scurri              1    
11344     scuttl              2    
11345     se                  1    
11346     sea                 96   
11347     seab                8    
11348     seafood             1    
11349     seal                16   
11350     sealedoff           1    
11351     sealift             1    
11352     seam                4    
11353     seaman              9    
11354     seamen              10   
11355     sean                3    
11356     seanc               1    
11357     seaport             3    
11358     sear                1    
11359     search              143  
11360     searchandrescu      1    
11361     searcher            7    
11362     season              17   
11363     seasonend           2    
11364     seat                64   
11365     seattl              10   
11366     seattlebas          1    
11367     seawal              1    
11368     seawat              5    
11369     seaworthi           4    
11370     sebastian           2    
11371     sebastien           16   
11372     sebek               4    
11373     sec                 3    
11374     secessionist        4    
11375     sech                1    
11376     seclud              1    
11377     seclus              2    
11378     second              162  
11379     secondari           1    
11380     secondguess         2    
11381     secondhighest       7    
11382     secondlargest       2    
11383     secondli            4    
11384     secondlongest       3    
11385     secondround         6    
11386     secondse            1    
11387     secondseed          6    
11388     secondserv          2    
11389     secondset           2    
11390     secreci             1    
11391     secret              82   
11392     secretari           157  
11393     secretarydesign     4    
11394     secretarygener      14   
11395     secretli            5    
11396     sect                2    
11397     sectarian           2    
11398     section             19   
11399     sector              4    
11400     secular             2    
11401     secur               314  
11402     securitywis         1    
11403     sedat               1    
11404     see                 190  
11405     seed                53   
11406     seek                92   
11407     seeker              3    
11408     seem                136  
11409     seemingli           3    
11410     seen                133  
11411     seeth               1    
11412     segment             3    
11413     segodnya            2    
11414     segreg              1    
11415     seif                2    
11416     seismic             3    
11417     seismograph         5    
11418     seismolog           3    
11419     seismologist        7    
11420     seiz                33   
11421     sejwal              1    
11422     sekou               1    
11423     seldom              1    
11424     sele                30   
11425     select              18   
11426     seleri              1    
11427     self                6    
11428     selfabsorb          1    
11429     selfappoint         1    
11430     selfcensorship      1    
11431     selfconfid          1    
11432     selfdefens          4    
11433     selfdetermin        4    
11434     selfdoubt           2    
11435     selfexil            2    
11436     selffinanc          1    
11437     selfimpos           8    
11438     selfinflict         3    
11439     selfproclaim        2    
11440     selfpromot          1    
11441     selfprotect         4    
11442     selfrespect         1    
11443     selfserv            1    
11444     selig               1    
11445     sell                14   
11446     seller              1    
11447     semi                10   
11448     semiautomat         1    
11449     semiclandestin      1    
11450     semidesert          1    
11451     semifin             30   
11452     semifinalist        12   
11453     semin               1    
11454     seminar             1    
11455     semioffici          1    
11456     semion              1    
11457     semireform          1    
11458     sen                 59   
11459     senat               123  
11460     senatorelect        6    
11461     senatori            6    
11462     send                70   
11463     seneg               2    
11464     senelect            1    
11465     senior              126  
11466     senmelissa          1    
11467     sennett             1    
11468     sens                53   
11469     sensat              1    
11470     senseless           4    
11471     sensibl             2    
11472     sensit              11   
11473     sent                141  
11474     sentenc             95   
11475     sentiment           22   
11476     separ               56   
11477     separatist          2    
11478     seper               1    
11479     sept                47   
11480     septemb             62   
11481     sequenc             2    
11482     serafin             1    
11483     seraguso            1    
11484     serb                49   
11485     serbdomin           3    
11486     serbia              86   
11487     serbian             72   
11488     serbianirish        1    
11489     serbocroatian       1    
11490     seren               6    
11491     serena              31   
11492     serendipit          1    
11493     serga               8    
11494     sergaev             1    
11495     sergeant            2    
11496     sergei              1    
11497     sergeyev            1    
11498     sergio              8    
11499     serheo              1    
11500     seri                38   
11501     serial              5    
11502     seriou              39   
11503     serious             31   
11504     sermon              3    
11505     serov               1    
11506     serv                187  
11507     servant             6    
11508     serveandvolley      5    
11509     servic              203  
11510     servicemen          24   
11511     servil              1    
11512     sesam               1    
11513     seselj              2    
11514     session             39   
11515     set                 232  
11516     setback             5    
11517     seth                1    
11518     setinya             1    
11519     settl               33   
11520     settlement          8    
11521     seven               130  
11522     sevengam            2    
11523     sevenpag            1    
11524     sevenperson         1    
11525     sevenstori          1    
11526     seventeen           16   
11527     seventerm           2    
11528     seventh             30   
11529     seventhseed         1    
11530     seventi             1    
11531     sevenway            1    
11532     sevenweek           4    
11533     sevenyear           3    
11534     sevenyearlong       1    
11535     sevenyearold        1    
11536     sever               248  
11537     severin             1    
11538     severodvinsk        1    
11539     severomorsk         4    
11540     sew                 1    
11541     sewag               4    
11542     sewart              1    
11543     sex                 8    
11544     sexual              15   
11545     seymour             1    
11546     sgt                 5    
11547     shaar               2    
11548     shab                2    
11549     shabtai             1    
11550     shack               7    
11551     shade               2    
11552     shadow              17   
11553     shadowi             8    
11554     shaeffer            1    
11555     shaft               3    
11556     shah                4    
11557     shaheen             1    
11558     shaher              1    
11559     shailesh            1    
11560     shajea              1    
11561     shake               28   
11562     shaken              11   
11563     shaki               2    
11564     shalikashvili       1    
11565     shall               3    
11566     shallow             3    
11567     shallowwat          1    
11568     sham                2    
11569     shambl              3    
11570     shame               6    
11571     shamshran           1    
11572     shane               1    
11573     shannon             1    
11574     shantytown          5    
11575     shape               27   
11576     shapeless           1    
11577     shapeup             1    
11578     shapiro             1    
11579     shard               3    
11580     share               39   
11581     shargel             1    
11582     sharm               3    
11583     sharon              2    
11584     sharp               13   
11585     sharpen             2    
11586     sharper             1    
11587     sharpli             14   
11588     shatter             33   
11589     shaughnessi         3    
11590     shave               1    
11591     shavit              1    
11592     shaw                3    
11593     shawn               3    
11594     she                 19   
11595     shea                1    
11596     sheaf               1    
11597     shear               2    
11598     sheath              1    
11599     shebeck             1    
11600     shebek              1    
11601     shed                10   
11602     sheehan             2    
11603     sheehen             1    
11604     sheepish            1    
11605     sheepishli          1    
11606     sheer               3    
11607     sheet               22   
11608     sheik               5    
11609     sheikh              2    
11610     sheila              1    
11611     shelf               3    
11612     shell               13   
11613     shelle              4    
11614     shelli              1    
11615     shelten             1    
11616     shelter             22   
11617     shelti              1    
11618     shelton             6    
11619     shelv               2    
11620     shemter             1    
11621     shephard            1    
11622     shepherd            4    
11623     sheriff             14   
11624     sherman             1    
11625     sherri              3    
11626     sheryl              1    
11627     shi                 5    
11628     shiela              1    
11629     shield              8    
11630     shift               20   
11631     shiit               3    
11632     shine               10   
11633     shini               2    
11634     ship                193  
11635     shipboard           1    
11636     shipbuild           6    
11637     shipman             1    
11638     shipmat             13   
11639     shipment            1    
11640     shipyard            8    
11641     shirley             1    
11642     shirt               12   
11643     shirtless           2    
11644     shiver              1    
11645     shkval              7    
11646     shlomo              1    
11647     shock               43   
11648     shoddi              1    
11649     shoddili            1    
11650     shoe                15   
11651     shoeed              1    
11652     shoeleath           2    
11653     sholti              1    
11654     shook               46   
11655     shoot               20   
11656     shootout            4    
11657     shop                53   
11658     shopkeep            2    
11659     shoplift            2    
11660     shopper             1    
11661     shore               18   
11662     shorelin            1    
11663     short               92   
11664     shortag             16   
11665     shortchang          2    
11666     shortcom            4    
11667     shortcut            1    
11668     shorter             3    
11669     shortest            1    
11670     shortfal            2    
11671     shorthand           2    
11672     shortli             47   
11673     shortliv            4    
11674     shortsleev          1    
11675     shortstaf           1    
11676     shortterm           3    
11677     shot                76   
11678     shotgun             18   
11679     shotmak             1    
11680     should              7    
11681     shoulder            16   
11682     shouldnt            1    
11683     shout               29   
11684     shove               5    
11685     shovel              12   
11686     show                187  
11687     showcas             2    
11688     showdown            12   
11689     shower              7    
11690     shown               20   
11691     shrank              4    
11692     shrapnel            1    
11693     shred               5    
11694     shreveport          2    
11695     shrewd              4    
11696     shrill              1    
11697     shrine              1    
11698     shriner             1    
11699     shrink              6    
11700     shrunk              1    
11701     shukla              2    
11702     shuler              1    
11703     shultz              3    
11704     shun                2    
11705     shusaki             3    
11706     shut                27   
11707     shutdown            1    
11708     shutter             2    
11709     shuttl              4    
11710     sibl                8    
11711     sicili              2    
11712     sick                8    
11713     side                153  
11714     sidelin             11   
11715     sidestep            4    
11716     sideway             1    
11717     sidl                7    
11718     sidot               1    
11719     sieg                9    
11720     siemerink           1    
11721     sierra              4    
11722     siev                11   
11723     siewert             24   
11724     sifford             16   
11725     sift                11   
11726     sigh                3    
11727     sight               25   
11728     sightse             4    
11729     sign                133  
11730     signal              34   
11731     signalman           1    
11732     signatur            7    
11733     signifi             1    
11734     signific            41   
11735     significantli       9    
11736     sigonella           2    
11737     sikh                1    
11738     silberl             1    
11739     silenc              19   
11740     silent              19   
11741     sill                1    
11742     silli               1    
11743     silliman            1    
11744     silo                3    
11745     silt                1    
11746     silva               1    
11747     silver              8    
11748     silvertongu         2    
11749     silvia              3    
11750     silvija             2    
11751     simeon              1    
11752     simil               1    
11753     similar             47   
11754     similarli           5    
11755     simmer              3    
11756     simmon              3    
11757     simpl               19   
11758     simpler             1    
11759     simpli              46   
11760     simul               1    
11761     simultan            8    
11762     sin                 3    
11763     sinc                341  
11764     sincer              5    
11765     sindh               2    
11766     sing                6    
11767     singapor            3    
11768     singaporean         1    
11769     singer              7    
11770     singh               4    
11771     singl               50   
11772     singledigit         1    
11773     singlestori         1    
11774     singular            1    
11775     singularli          1    
11776     sinha               1    
11777     sink                32   
11778     siobhan             1    
11779     sion                1    
11780     sip                 6    
11781     sir                 5    
11782     sirah               1    
11783     siren               1    
11784     siriman             1    
11785     sister              45   
11786     sisterinlaw         1    
11787     sit                 37   
11788     site                80   
11789     sitin               2    
11790     situat              82   
11791     six                 149  
11792     sixb                1    
11793     sixbunk             1    
11794     sixday              1    
11795     sixfoot             2    
11796     sixhour             2    
11797     sixman              1    
11798     sixmemb             1    
11799     sixmonth            1    
11800     sixseat             3    
11801     sixstori            1    
11802     sixteen             3    
11803     sixth               32   
11804     sixthseed           3    
11805     sixti               1    
11806     sixvehicl           1    
11807     sixweek             5    
11808     sixyear             3    
11809     sixyearlong         1    
11810     siyaram             1    
11811     sizabl              2    
11812     size                19   
11813     sizzl               2    
11814     skeptic             10   
11815     sketch              11   
11816     sketchi             14   
11817     ski                 2    
11818     skiff               10   
11819     skill               13   
11820     skim                8    
11821     skin                7    
11822     skip                8    
11823     skipper             5    
11824     skirmish            1    
11825     skirt               5    
11826     skull               3    
11827     sky                 18   
11828     skyscrap            4    
11829     slab                15   
11830     slade               7    
11831     slain               10   
11832     slam                58   
11833     slant               2    
11834     slap                3    
11835     slash               4    
11836     slat                1    
11837     slate               6    
11838     slater              2    
11839     slaughterhous       1    
11840     slava               1    
11841     slavador            1    
11842     slavica             1    
11843     slavija             2    
11844     slavish             1    
11845     slavo               1    
11846     slavoljub           1    
11847     slay                12   
11848     sledgehamm          3    
11849     sleep               36   
11850     sleepless           1    
11851     sleight             1    
11852     slender             1    
11853     slenderest          1    
11854     slept               8    
11855     slice               10   
11856     slid                2    
11857     slide               3    
11858     slight              6    
11859     slightest           3    
11860     slightli            27   
11861     slim                10   
11862     slime               1    
11863     slip                30   
11864     slippag             1    
11865     sliver              2    
11866     slm                 2    
11867     slobadon            1    
11868     slobo               3    
11869     slobodan            126  
11870     slocomb             1    
11871     slogan              12   
11872     slope               2    
11873     sloppi              5    
11874     slouch              1    
11875     slovakia            8    
11876     slovakian           1    
11877     slow                38   
11878     slowdown            2    
11879     slowest             2    
11880     slowfoot            1    
11881     slowli              26   
11882     slowmov             1    
11883     slug                1    
11884     sluggish            4    
11885     slump               6    
11886     slur                1    
11887     smack               4    
11888     small               208  
11889     smaller             25   
11890     smallest            2    
11891     smaltz              1    
11892     smart               2    
11893     smarter             2    
11894     smartest            1    
11895     smartli             1    
11896     smash               25   
11897     smear               3    
11898     smederevska         2    
11899     smell               7    
11900     smile               36   
11901     smit                1    
11902     smith               21   
11903     smithvil            1    
11904     smitten             1    
11905     smog                2    
11906     smoggiest           1    
11907     smoke               26   
11908     smoker              1    
11909     smokescreen         1    
11910     smokey              1    
11911     smolder             1    
11912     smolinski           1    
11913     smooth              9    
11914     smoothli            2    
11915     smother             2    
11916     smuggl              3    
11917     snack               2    
11918     snake               1    
11919     snap                9    
11920     snapper             1    
11921     snappi              1    
11922     snare               1    
11923     snarl               1    
11924     snatch              8    
11925     sneak               3    
11926     sneaker             1    
11927     sneakerclad         1    
11928     sneet               1    
11929     snif                3    
11930     sniff               1    
11931     sniffer             13   
11932     snipe               1    
11933     sniper              1    
11934     snippet             2    
11935     snitch              3    
11936     snjezana            1    
11937     snour               1    
11938     snow                11   
11939     snowcov             1    
11940     snowfal             1    
11941     snowstorm           2    
11942     snyder              1    
11943     so                  52   
11944     soak                2    
11945     soap                1    
11946     soapoperat          1    
11947     soar                7    
11948     sob                 3    
11949     sober               2    
11950     socal               10   
11951     soccer              4    
11952     social              33   
11953     socialist           36   
11954     societi             34   
11955     sock                3    
11956     socotra             2    
11957     socti               1    
11958     sod                 1    
11959     sofa                2    
11960     soft                10   
11961     soften              4    
11962     softli              1    
11963     softspoken          2    
11964     softwar             7    
11965     soglasiy            1    
11966     soil                7    
11967     sojourn             1    
11968     solanki             1    
11969     solari              1    
11970     sold                19   
11971     soldier             97   
11972     sole                9    
11973     solemn              4    
11974     solemnli            1    
11975     solicit             1    
11976     solid               15   
11977     solidar             6    
11978     solidifi            2    
11979     solidli             1    
11980     solitari            2    
11981     solitud             1    
11982     solomon             1    
11983     solorzano           2    
11984     solut               14   
11985     solv                6    
11986     somali              2    
11987     somalia             8    
11988     somaliborn          1    
11989     somber              6    
11990     somberli            2    
11991     some                13   
11992     somebodi            22   
11993     someday             5    
11994     somehow             16   
11995     someon              49   
11996     someplac            1    
11997     someth              112  
11998     sometim             50   
11999     somewhat            9    
12000     somewher            14   
12001     somo                1    
12002     son                 114  
12003     sonar               2    
12004     song                3    
12005     songwrit            3    
12006     sonia               3    
12007     soninlaw            3    
12008     sonni               1    
12009     soon                94   
12010     sooner              5    
12011     soontob             1    
12012     sooooo              1    
12013     soot                1    
12014     sooti               1    
12015     sop                 1    
12016     sophist             22   
12017     sordid              1    
12018     sore                8    
12019     sorri               4    
12020     sorrow              3    
12021     sort                53   
12022     sorti               1    
12023     sosonati            7    
12024     soto                3    
12025     souc                1    
12026     sought              50   
12027     soul                4    
12028     soumaila            1    
12029     sound               56   
12030     soundli             3    
12031     soundproof          1    
12032     soup                3    
12033     soupstirr           1    
12034     sour                2    
12035     sourc               93   
12036     south               123  
12037     southcentr          1    
12038     southeast           36   
12039     southeastern        10   
12040     southern            67   
12041     southwest           19   
12042     southwestern        6    
12043     souvenir            2    
12044     sovereign           2    
12045     sovereignti         8    
12046     soviet              29   
12047     sovietera           5    
12048     soxon               1    
12049     sp                  2    
12050     space               19   
12051     spaciou             1    
12052     spain               20   
12053     span                6    
12054     spangl              1    
12055     spaniard            2    
12056     spaniel             1    
12057     spanish             13   
12058     spanishlanguag      3    
12059     spanishspeak        6    
12060     spare               9    
12061     spark               18   
12062     spasski             2    
12063     spat                1    
12064     spate               3    
12065     speak               120  
12066     speaker             19   
12067     spear               1    
12068     spearhead           3    
12069     speci               1    
12070     special             111  
12071     specialist          21   
12072     specif              55   
12073     specifi             13   
12074     spectacl            3    
